YEAR,solar_mean,rain_total,humidity_mean,temp_mean,wind_mean,region
2014,15.55,-999.0,68.8,9.8,3.56,Lancaster_NE
2015,15.14,-999.0,72.35,11.12,3.32,Lancaster_NE
2016,15.61,-999.0,72.07,11.97,3.43,Lancaster_NE
2017,15.63,-999.0,68.35,11.56,3.43,Lancaster_NE
2018,14.94,-999.0,73.33,10.12,3.33,Lancaster_NE
2019,15.07,-999.0,78.24,9.67,3.4,Lancaster_NE
2020,15.66,-999.0,70.01,11.07,3.44,Lancaster_NE
2021,15.59,-999.0,69.05,11.85,3.29,Lancaster_NE
2022,16.15,-999.0,59.04,11.47,3.73,Lancaster_NE
2023,15.79,-999.0,63.87,12.35,3.25,Lancaster_NE
2024,16.09,-999.0,65.15,12.51,3.36,Lancaster_NE
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Lancaster_NE
2000,14.07,-999.0,68.27,10.05,3.44,Story_IA
2001,14.45,-999.0,76.26,9.7,3.32,Story_IA
2002,14.81,-999.0,71.19,9.87,3.42,Story_IA
2003,14.82,-999.0,68.82,9.51,3.34,Story_IA
2004,14.26,-999.0,73.6,9.59,3.41,Story_IA
2005,14.78,-999.0,68.88,10.72,3.33,Story_IA
2006,14.13,-999.0,68.65,10.93,3.45,Story_IA
2007,14.99,-999.0,77.53,9.64,3.46,Story_IA
2008,14.54,-999.0,80.53,7.9,3.37,Story_IA
2009,14.19,-999.0,79.08,8.31,3.29,Story_IA
2010,15.09,-999.0,83.18,8.84,3.19,Story_IA
2011,14.19,-999.0,75.33,9.6,3.33,Story_IA
2012,15.41,-999.0,64.46,12.11,3.37,Story_IA
2013,14.33,-999.0,72.58,8.81,3.45,Story_IA
2014,14.0,-999.0,75.93,8.03,3.48,Story_IA
2015,14.71,-999.0,77.07,9.86,3.26,Story_IA
2016,14.76,-999.0,79.6,10.42,3.28,Story_IA
2017,14.27,-999.0,71.48,10.66,3.4,Story_IA
2018,14.23,-999.0,78.16,8.96,3.17,Story_IA
2019,13.88,-999.0,82.84,8.43,3.28,Story_IA
2020,14.6,-999.0,74.17,9.94,3.34,Story_IA
2021,14.97,-999.0,70.04,11.08,3.32,Story_IA
2022,14.75,-999.0,68.81,9.45,3.57,Story_IA
2023,14.66,-999.0,68.57,11.22,3.18,Story_IA
2024,14.74,-999.0,69.74,11.49,3.31,Story_IA
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Story_IA
